589 197 Finland 6 Alaska 100 #C3C3C3
909 375 United.Kingdom 2 Edmonton 115 #880015
1300 320 United.Kingdom 1 Central.Canada 115 #880015
1680 650 United.Kingdom 5 Toronto 115 #880015
1805 540 United.Kingdom 4 Quebec 115 #880015
2060 480 United.Kingdom 1 Newfoundland 115 #880015
820 685 United.States 3 Seattle 100 #00A2E8
670 875 United.States 5 California 100 #00A2E8
360 1015 United.States 3 Hawaii 100 #00A2E8
850 931 United.States 2 Arizona 100 #00A2E8
1085 1055 United.States 3 Texas 100 #00A2E8
1190 770 United.States 4 Practically.Dakota 100 #00A2E8
1465 740 United.States 3 Chicago 100 #00A2E8
1560 890 United.States 5 Washington 100 #00A2E8
1690 760 United.States 4 New.York 100 #00A2E8
1350 1015 United.States 3 Florida 100 #00A2E8
